Departement,Nombre_de_Naissances,Nombre_de_Deces
https://cours.iut-orsay.fr/jaj/1,3859,4584
https://cours.iut-orsay.fr/jaj/10,2891,3267
https://cours.iut-orsay.fr/jaj/11,2631,4711
https://cours.iut-orsay.fr/jaj/12,2366,3502
https://cours.iut-orsay.fr/jaj/13,25584,21959
https://cours.iut-orsay.fr/jaj/14,6994,8150
https://cours.iut-orsay.fr/jaj/15,1024,2219
https://cours.iut-orsay.fr/jaj/16,3034,4357
https://cours.iut-orsay.fr/jaj/17,4825,8487
https://cours.iut-orsay.fr/jaj/18,2428,3825
https://cours.iut-orsay.fr/jaj/19,2179,3509
https://cours.iut-orsay.fr/jaj/2,4535,5934
https://cours.iut-orsay.fr/jaj/21,5604,5819
https://cours.iut-orsay.fr/jaj/22,4224,7409
https://cours.iut-orsay.fr/jaj/23,511,1784
https://cours.iut-orsay.fr/jaj/24,2551,5577
https://cours.iut-orsay.fr/jaj/25,5110,4771
https://cours.iut-orsay.fr/jaj/26,5710,5187
https://cours.iut-orsay.fr/jaj/27,3201,4860
https://cours.iut-orsay.fr/jaj/28,3764,4373
https://cours.iut-orsay.fr/jaj/29,7960,11068
https://cours.iut-orsay.fr/jaj/2A,1220,1667
https://cours.iut-orsay.fr/jaj/2B,1485,1911
https://cours.iut-orsay.fr/jaj/3,3013,4634
https://cours.iut-orsay.fr/jaj/30,6521,7801
https://cours.iut-orsay.fr/jaj/31,16970,11745
https://cours.iut-orsay.fr/jaj/32,954,2218
https://cours.iut-orsay.fr/jaj/33,18590,16009
https://cours.iut-orsay.fr/jaj/34,13789,12714
https://cours.iut-orsay.fr/jaj/35,13394,9987
https://cours.iut-orsay.fr/jaj/36,1321,3016
https://cours.iut-orsay.fr/jaj/37,6524,6585
https://cours.iut-orsay.fr/jaj/38,12437,10040
https://cours.iut-orsay.fr/jaj/39,1884,2661
https://cours.iut-orsay.fr/jaj/4,1044,1965
https://cours.iut-orsay.fr/jaj/40,2255,4366
https://cours.iut-orsay.fr/jaj/41,3061,3812
https://cours.iut-orsay.fr/jaj/42,8687,8423
https://cours.iut-orsay.fr/jaj/43,1030,2334
https://cours.iut-orsay.fr/jaj/44,17210,13055
https://cours.iut-orsay.fr/jaj/45,7420,6718
https://cours.iut-orsay.fr/jaj/46,791,2191
https://cours.iut-orsay.fr/jaj/47,2949,4178
https://cours.iut-orsay.fr/jaj/48,430,1003
https://cours.iut-orsay.fr/jaj/49,9514,7901
https://cours.iut-orsay.fr/jaj/5,1373,1673
https://cours.iut-orsay.fr/jaj/50,4434,6074
https://cours.iut-orsay.fr/jaj/51,6689,6121
https://cours.iut-orsay.fr/jaj/52,1705,2080
https://cours.iut-orsay.fr/jaj/53,2601,2963
https://cours.iut-orsay.fr/jaj/54,7256,7697
https://cours.iut-orsay.fr/jaj/55,884,2061
https://cours.iut-orsay.fr/jaj/56,7182,9057
https://cours.iut-orsay.fr/jaj/57,9549,11182
https://cours.iut-orsay.fr/jaj/58,1186,3056
https://cours.iut-orsay.fr/jaj/59,32220,25399
https://cours.iut-orsay.fr/jaj/6,11933,13858
https://cours.iut-orsay.fr/jaj/60,7669,6776
https://cours.iut-orsay.fr/jaj/61,2610,3510
https://cours.iut-orsay.fr/jaj/62,13949,15415
https://cours.iut-orsay.fr/jaj/63,6758,7335
https://cours.iut-orsay.fr/jaj/64,7102,7951
https://cours.iut-orsay.fr/jaj/65,1763,3096
https://cours.iut-orsay.fr/jaj/66,4619,6384
https://cours.iut-orsay.fr/jaj/67,12092,10386
https://cours.iut-orsay.fr/jaj/68,7446,7331
https://cours.iut-orsay.fr/jaj/69,27198,15551
https://cours.iut-orsay.fr/jaj/7,2276,3578
https://cours.iut-orsay.fr/jaj/70,1054,2220
https://cours.iut-orsay.fr/jaj/71,4569,6699
https://cours.iut-orsay.fr/jaj/72,5690,6230
https://cours.iut-orsay.fr/jaj/73,4576,4097
https://cours.iut-orsay.fr/jaj/74,11109,6410
https://cours.iut-orsay.fr/jaj/75,41880,18025
https://cours.iut-orsay.fr/jaj/76,15741,13706
https://cours.iut-orsay.fr/jaj/77,13934,9411
https://cours.iut-orsay.fr/jaj/78,16009,8917
https://cours.iut-orsay.fr/jaj/79,2687,4245
https://cours.iut-orsay.fr/jaj/8,1907,2846
https://cours.iut-orsay.fr/jaj/80,5683,6632
https://cours.iut-orsay.fr/jaj/81,3403,4566
https://cours.iut-orsay.fr/jaj/82,2171,2724
https://cours.iut-orsay.fr/jaj/83,8969,13309
https://cours.iut-orsay.fr/jaj/84,7714,6437
https://cours.iut-orsay.fr/jaj/85,5224,7473
https://cours.iut-orsay.fr/jaj/86,4254,5157
https://cours.iut-orsay.fr/jaj/87,3770,4745
https://cours.iut-orsay.fr/jaj/88,3004,4459
https://cours.iut-orsay.fr/jaj/89,2863,4327
https://cours.iut-orsay.fr/jaj/9,1210,1892
https://cours.iut-orsay.fr/jaj/90,2893,2279
https://cours.iut-orsay.fr/jaj/91,14199,8515
https://cours.iut-orsay.fr/jaj/92,24076,11075
https://cours.iut-orsay.fr/jaj/93,20885,8795
https://cours.iut-orsay.fr/jaj/94,19212,10135
https://cours.iut-orsay.fr/jaj/95,19161,8055
https://cours.iut-orsay.fr/jaj/971,4366,4526
https://cours.iut-orsay.fr/jaj/972,3672,4623
https://cours.iut-orsay.fr/jaj/973,8162,1338
https://cours.iut-orsay.fr/jaj/974,13646,5807
https://cours.iut-orsay.fr/jaj/976,10387,1090
